booktitle,author,key,title
,Mihaela van der Schaar,journals/tvt/FuS09,A New Systematic Framework for Autonomous Cross-Layer Optimization.
ISIT,H. Vincent Poor,conf/isit/CuiHSP08,Decentralized two-hop opportunistic relaying with limited channel state information.
,Moshe Y. Vardi,journals/cacm/Vardi11a,Fumbling the future.
,Benjamin Recht,journals/corr/SparksVKFR16,KeystoneML: Optimizing Pipelines for Large-Scale Advanced Analytics.
IPPS,Ramesh Jain,conf/ipps/SastryRJ93,VLSI Architectures for Depth Estimation Using Intensity Gradient Analysis.
ECSQARU,Jan M. Broersen,conf/ecsqaru/Broersen11,Probabilistic Stit Logic.
IAT,Catholijn M. Jonker,conf/iat/DignumDJ12,Close Encounters of the Agent Kind: Designing Agents for Effective Training.
,Tao Zhou,journals/siamsc/ZhaoFZ14,New Kinds of High-Order Multistep Schemes for Coupled Forward Backward Stochastic Differential Equations.
,Benyang Tang,journals/datamine/WagstaffKMT10,Progressive refinement for support vector machines.
,Luigi Portinale,journals/apin/BichindaritzMP08,Special issue on case-based reasoning in the health sciences.
ACM Multimedia,Liqing Zhang,conf/mm/HouZ07,Color conceptualization.
SIGMOD Conference,Larry Kerschberg,conf/sigmod/FurtadoK77,An Algebra of Quotient Relations.
,John A. Stankovic,journals/amsys/MondolS15,Harmony: A Hand Wash Monitoring and Reminder System using Smart Watches.
PLDI,P. Sadayappan,conf/pldi/HolewinskiRRFPRS12,Dynamic trace-based analysis of vectorization potential of applications.
,José Juan Pazos-Arias,journals/isci/Blanco-FernandezNGCA11,Exploring synergies between content-based filtering and Spreading Activation techniques in knowledge-based recommender systems.
,Xiaoyan Zhu,journals/tsmc/SunSZ12,Using Coding-Based Ensemble Learning to Improve Software Defect Prediction.
CIKM,Yannis Theodoridis,conf/cikm/DellisVVST06,Constrained subspace skyline computation.
,Simon S. Lam,journals/ibmrd/Lam77,Queuing Networks with Population Size Constraints.
NIPS,Bernhard Schölkopf,conf/nips/DinuzzoS12,The representer theorem for Hilbert spaces: a necessary and sufficient condition.
PerCom Workshops,Michael Weber 0001,conf/percom/LoweMW12,Context Directory: A context-aware service for mobile context-aware computing applications by the example of Google Android.
DEXA,Marta Sabou,conf/dexa/dAquinSSS07,Ontology Modularization for Knowledge Selection: Experiments and Evaluations.
,Baocai Yin,journals/pami/SunGHMY16,Heterogeneous Tensor Decomposition for Clustering via Manifold Optimization.
BIBM,Jun Liu,conf/bibm/YangPXHYL14,The medication regularity of traditional Chinese medicine against gout.
,Keith L. Doty,journals/ijrr/ManseurD89,A Robot Manipulator with 16 Real Inverse Kinematic Solution Sets.
NIPS,Michael I. Jordan,conf/nips/ZhangCZJ14,Spectral Methods meet EM: A Provably Optimal Algorithm for Crowdsourcing.
SAC,Yu Wang,conf/sac/ZhangKCADZW06,Personalization and visualization on handheld devices.
ICSC,Lenhart K. Schubert,conf/semco/GordonS13,WordNet Hierarchy Axiomatization and the Mass-Count Distinction.
,Ke Wang,journals/rsa/VuW15,"Random weighted projections, random quadratic forms and random eigenvectors."
,David G. Lowe,journals/corr/abs-1112-0059,Local Naive Bayes Nearest Neighbor for Image Classification
SIGMOD Conference,Neil Thombre,conf/sigmod/KrishnamurthyFDFGLT10,Continuous analytics over discontinuous streams.
,Aaron Hertzmann,journals/tog/KalogerakisNBH12,Learning hatching for pen-and-ink illustration of surfaces.
,Gabriel Peyré,journals/tip/FadiliP11,Total Variation Projection With First Order Schemes.
,Kunihiko Fukushima,journals/nn/Fukushima13a,Training multi-layered neural network neocognitron.
,Andrzej Cichocki,journals/sigpro/ZhangAC01,Semiparametric model and superefficiency in blind deconvolution.
VLDB,Ting Chen,conf/vldb/LuLCC05,From Region Encoding To Extended Dewey: On Efficient Processing of XML Twig Pattern Matching.
Workshop on Hot Topics in Operating Systems,Jeffrey C. Mogul,conf/hotos/Mogul99,Brittle Metrics in Operating Systems Research.
AISTATS,Cristian Sminchisescu,journals/jmlr/BoS09,Supervised Spectral Latent Variable Models.
,Joel E. Richardson,journals/nar/EppigBBKR07,The mouse genome database (MGD): new features facilitating a model system.
,Peter D. Turney,journals/corr/abs-cs-0607120,Expressing Implicit Semantic Relations without Supervision
HLT-NAACL,Rachel Greenstadt,conf/naacl/StolermanCG13,From Language to Family and Back: Native Language and Language Family Identification from English Text.
CAiSE Workshops (3),Michele Missikoff,conf/caise/LenzeriniM04,Ontologies for Interoperability.
,Roland Siegwart,journals/ijrr/LaugierMPS09,Editorial: Sixth International Conference on Field and Service Robotics.
ECAI,Jana Koehler,conf/ecai/BiundoDK92,Deductive Planning and Plan Reuse in a Command Language Environment.
,Xiaodong Zhang 0001,journals/tpds/XiaoXZ03,Low-Cost and Reliable Mutual Anonymity Protocols in Peer-to-Peer Networks.
,Johann A. Makowsky,journals/ejc/AverbouchGM10,An extension of the bivariate chromatic polynomial.
,Peter N. Belhumeur,journals/tog/RamamoorthiMB07,"A first-order analysis of lighting, shading, and shadows."
