booktitle,author,key,title
ICRA,Yoshihiko Nakamura,conf/icra/DasguptaN99,Making Feasible Walking Motion of Humanoid Robots from Human Motion Capture Data.
,Kenji Suzuki,journals/ram/Suzuki16,QOLO Technology Changes Life for Wheelchair Users [Industrial Activities].
Symposium on Computational Geometry,Takeshi Tokuyama,conf/compgeom/ChunKNT08,Consistent digital rays.
ICME,Marcel Worring,conf/icmcs/NguyenW04,Optimizing similarity based visualization in content based image retrieval.
SAC,Rohini K. Srihari,conf/sac/JinS07,Graph-based text representation and knowledge discovery.
Efficient Algorithms,Stefan Funke,conf/birthday/Funke09,Of What Use Is Floating-Point Arithmetic in Computational Geometry?
,Domagoj Vrgoc,journals/corr/AnglesABHRV16,Foundations of Modern Graph Query Languages.
ICSOC,Alejandro P. Buchmann,conf/icsoc/KarastoyanovaLB05,An Approach to Parameterizing Web Service Flows.
BigComp,Jae-Woo Chang,conf/bigcomp/HongKKC15,A hierarchical CRT-based user access control scheme using resource set tree on the cloud system.
Description Logics,Albrecht Schmiedel,conf/dlog/Schmiedel92,For a More Expressive Query Language.
CVPR,Baoxin Li,conf/cvpr/NageshL09,A compressive sensing approach for expression-invariant face recognition.
Interval / Probabilistic Uncertainty and Non-Classical Logics,Shengli Wu,series/asc/BiSW08,Uncertainty Reasoning in Rough Knowledge Discovery.
,Thomas A. Henzinger,journals/corr/abs-0809-1465,Probabilistic Systems with LimSup and LimInf Objectives
,Warren B. Powell,journals/mp/JonesLFP93,Multicommodity network flows: The impact of formulation on decomposition.
,Rohit Parikh,journals/jphil/Arlo-CostaP05,Conditional Probability and Defeasible Inference.
CIKM,Wang-Chien Lee,conf/cikm/LiuTYL12,Exploring personal impact for group recommendation.
,Henri Prade,journals/isci/DuboisP91,Measuring and updating information.
,Hiroshi Tanaka,journals/bmcsb/MizunoIOKMGMMKT12,AlzPathway: a comprehensive map of signaling pathways of Alzheimer's disease.
AMT,John Anderson,conf/amt/Anderson09,Using Neural Imaging to Inform the Instruction of Mathematics.
DASFAA (2),Guihai Chen,conf/dasfaa/YanTGTC16,STH-Bass: A Spatial-Temporal Heterogeneous Bass Model to Predict Single-Tweet Popularity.
,Rob Kling,journals/ai/Kling71,A Paradigm for Reasoning by Analogy.
,Nicholas Roy,journals/ijrr/HeBAGGPSR10,On the Design and Use of a Micro Air Vehicle to Track and Avoid Adversaries.
IJCNN,Murray Shanahan,conf/ijcnn/FountasS15,GPU-based fast parameter optimization for phenomenological spiking neural models.
ICCNMC,John A. Stankovic,conf/iccnmc/Stankovic05,Self-organizing Wireless Sensor Networks in Action.
,Shlomo Moran,journals/iandc/MoranB89,Proving Properties of Interactive Proofs by a Generalized Counting Technique
ICRA,Thierry Siméon,conf/icra/LacroixCFHS94,Autonomous Navigation in Outdoor Environment: Adaptive Approach and Experiment.
IPEC,Petr A. Golovach,conf/iwpec/Golovach14,Editing to a Graph of Given Degrees.
IJCAI,Alan Bundy,conf/ijcai/BorningB81,Using Matching in Algebraic Equation Solving.
,Zhiwei Xu,journals/tist/ChenCGZLX13,Effective and efficient microprocessor design space exploration using unlabeled design configurations.
WSAN,Ramez Elmasri,conf/ifip6-8/LeePE08,Balancing Overhearing Energy and Latency in Wireless Sensor Networks.
,Toyoaki Nishida,journals/ijsr/MohammadN15,Why Should We Imitate Robots? Effect of Back Imitation on Judgment of Imitative Skill.
,Henri Prade,journals/jiis/DuboisHP06,Fuzzy methods for case-based recommendation and decision support.
BigData Congress,Jianhua Feng,conf/bigdata/HuLF13,Fast Similar Subgraph Search with Maximum Common Connected Subgraph Constraints.
I3E,Harri Oinas-Kukkonen,conf/i3e/LehtoO09,The Persuasiveness of Web-Based Alcohol Interventions.
SIGGRAPH Talks,Bryan Smith,conf/siggraph/BailletHMSS14,"The LEGO movie: construction, animation and demolition."
Winter Simulation Conference,Jie Wang,conf/wsc/RossW90,Solving product form stochastic networks with Monte Carlo summation.
CIDR,Wei-Ying Ma,conf/cidr/NieWM07,Object-level Vertical Search.
CORIA,Patrick Gallinari,conf/coria/VuG06,Apprentissage statistique pour la constitution des corpus d'évaluation.
,Roberto Navigli,journals/corr/Camacho-Collados16a,A Large-Scale Multilingual Disambiguation of Glosses.
,Ting Zhu,journals/js/LuoHZ15,A Survey on Spectrum Utilization in Wireless Sensor Networks.
IJCAI,Ian N. Robinson,conf/ijcai/Robinson91,On Supporting Associative Access and Processing over Dynamic Knowledge Bases.
IMA Conference on the Mathematics of Surfaces,Robert B. Fisher,conf/ima-ms/TruccoF92,Preserving Shape at Boundaries in Diffusion Smoothing.
INTERSPEECH,Hervé Bourlard,conf/interspeech/Magimai-DossISB04,Modeling auxiliary features in tandem systems.
ICIP,Weiming Hu,conf/icip/YangFTH04,Adaptive skin detection using multiple cues.
,Wei Su,journals/corr/OzdemirWDVS14,Hybrid Maximum Likelihood Based Linear Modulation Classification with Multiple Sensors via Generalized EM Algorithm.
Intelligence and Security Informatics,Hsinchun Chen,series/sci/KazaC08,Suspect Vehicle Identification for Border Safety.
ISAIM,Thomas Dean,conf/isaim/Dean06a,Scalable Inference in Hierarchical Generative Models.
PAKDD,Mohamed Nadif,conf/pakdd/JolloisN02,Clustering Large Categorical Data.
,Ido Dagan,journals/coling/Zhitomirsky-GeffetD09,Bootstrapping Distributional Feature Vector Quality.
,Elke A. Rundensteiner,journals/tapos/KunoR96,The MultiView OODB View System: Design and Implementation.
,Jian Lu,journals/entcs/ChenL08,Complete Axiomatization for Divergent-Sensitive Bisimulations in Basic Process Algebra with Prefix Iteration.
ICMI,Svetha Venkatesh,conf/icmi/TassoneWV00,Determining Motion Components Using the Point Distribution Model.
,Holger Wache,journals/aim/AliodABBBBBCGHHLMMMMORSSSTVTTW05,The Workshops at the Twentieth National Conference on Artificial Intelligence.
IROS,Danica Kragic,conf/iros/TumovaMDK14,Maximally satisfying LTL action planning.
ICRA,Gregory D. Hager,conf/icra/CorsoBH03,Direct plane tracking in stereo images for mobile navigation.
APSEC,Shinichi Honiden,conf/apsec/KawamuraHOH99,Bee-gent: Bonding and Encapsulation Enhancement Agent Framework for Development of Distributed Systems.
WISE,Jianguo Xiao,conf/wise/HuangWX12,Learning to Find Comparable Entities on the Web.
ICONIP,Noboru Ohnishi,conf/iconip/ChungO98,"Self Development of Hand-Eye Coordination for Robotic Grasping via ""Learn-by-Doing""."
,Terry Caelli,journals/corr/BeykikhoshkAPVC15,Using Twitter to learn about the autism community.
,Shinichi Honiden,journals/scjapan/HattoriCOIH04,Context-aware agent platform in ubiquitous environments and its verification tests.
,Yoichi Hayashi,journals/soco/BuckleyFH02a,Linear systems of first order ordinary differential equations: fuzzy initial conditions.
WAIM,Masatoshi Yoshikawa,conf/waim/IshiiMY10,An Incremental Method for Causal Network Construction.
,Wolfgang Maass,journals/neco/BuesingM10,A Spiking Neuron as Information Bottleneck.
AAMAS,Gerhard Weiss,conf/atal/AlersBHJKLTW11,Bee-inspired foraging in an embodied swarm.
,Xiangji Huang,journals/ijitdm/Huang07,Comparison of Interestingness Measures for Web Usage Mining: an Empirical Study.
,Mark J. T. Smith,journals/tsp/NayebiBS93,Nonuniform filter banks: a reconstruction and design theory.
ICPP,Y. C. Tay,conf/icpp/WeiGPT10,FlashCoop: A Locality-Aware Cooperative Buffer Management for SSD-Based Storage Cluster.
INTERSPEECH,Jitendra Ajmera,conf/interspeech/RaakeSAA07,Concept and evaluation of a downward-compatible system for spatial teleconferencing using automatic speaker clustering.
,Jehoshua Bruck,journals/corr/abs-1103-0317,Generalized Gray Codes for Local Rank Modulation
ICDE,Sunil Prabhakar,conf/icde/JainP13,Trustworthy data from untrusted databases.
FUZZ-IEEE,John A. Keane,conf/fuzzIEEE/WangZK06,Learning for Hierarchical Fuzzy Systems Based on the Gradient-Descent Method.
RO-MAN,Andrea Lockerd Thomaz,conf/ro-man/BullardACT16,Grounding action parameters from demonstration.
SIGMOD Conference,Philip A. Bernstein,conf/sigmod/Bernstein05,The many roles of meta data in data integration.
AISTATS,Eric P. Xing,conf/aistats/WilsonHSX16,Deep Kernel Learning.
,Matthew B. Blaschko,journals/cmig/BelilovskyGMKHA15,"Predictive sparse modeling of fMRI data for improved classification, regression, and visualization using the k-support norm."
,Roland H. C. Yap,journals/ai/LecoutreLY15,STR3: A path-optimal filtering algorithm for table constraints.
CogSci,T. Florian Jaeger,conf/cogsci/FineJ11,Language comprehension is sensitive to changes in the reliability of lexical cues.
Communications in Computing,Jeremy Pitt,conf/cic/ManviKP07,Information Search and Access in Vehicular Ad-hoc Networks (VANETs): An Agent Based Approach.
SAC (2),Hans-Werner Gellersen,conf/sac/LauffG00,Adapation in a Ubiquitous Computing Management Architecture.
UIST (Adjunct Volume),Pattie Maes,conf/uist/LinderM10,LuminAR: portable robotic augmented reality interface design and prototype.
DEXA,Georges Gardarin,conf/dexa/Gardarin97,Multimedia Federated Databases on Intranets: Web-Enabling IRO-DB.
,Ramesh Jain,journals/ieeemm/Jain98b,Multimedia Documents.
COMPCON,Fred Douglis,conf/compcon/BallD96,An Internet Difference Engine and its Applications.
ICONIP (1),Andrzej Cichocki,conf/iconip/DauwelsVC07,A Comparative Study of Synchrony Measures for the Early Detection of Alzheimer's Disease Based on EEG.
INEX,Charles L. A. Clarke,conf/inex/ItakuraC08,"University of Waterloo at INEX 2008: Adhoc, Book, and Link-the-Wiki Tracks."
VISAPP (1),Mario Vento,conf/visapp/BrunSV13,Learning and Classification of Car Trajectories in Road Video by String Kernels.
ICDE,James D. Johannes,conf/icde/Johannes84,Judgmental-Knowledge Bases: Problem Solving and Expert Systems.
DEXA Workshop,Vijay Kumar 0002,conf/dexaw/SeydimDK01,An Architecture for Location Dependent Query Processing.
SIGMOD Conference,Walter A. Burkhard,conf/sigmod/RoeslerB88,Deadlock Resolution and Semantic Lock Models in Object-Oriented Distributed Systems.
ICML,Nicol N. Schraudolph,conf/icml/YuVGS08,A quasi-Newton approach to non-smooth convex optimization.
IUI,Barry Smyth,conf/iui/ChurchS08,"Who, what, where & when: a new approach to mobile search."
,Christopher J. C. Burges,journals/datamine/Burges98,A Tutorial on Support Vector Machines for Pattern Recognition.
FODO,Yoshifumi Masunaga,conf/fodo/Masunaga85a,"Database Research and Development in Japan: Its Past, Present, and Future."
,Tat-Seng Chua,journals/tcsv/ZhaZWLC13,Detecting Group Activities With Multi-Camera Context.
PCM (2),Wei-Ying Ma,conf/pcm/LiuZLM04,Region-Based Image Retrieval with Perceptual Colors.
GLOBECOM,Guihai Chen,conf/globecom/SunWGC12,PHED: Pre-Handshaking Neighbor Discovery Protocols in full duplex wireless ad hoc networks.
ICDE,Manuel Mayr,conf/icde/GrustM12,A Deep Embedding of Queries into Ruby.
ECML/PKDD (3),Michael R. Berthold,conf/pkdd/HaunNKTB10,CET: A Tool for Creative Exploration of Graphs.
,Peter Nightingale,journals/corr/CaldwellGN15,Generalized Support and Formal Development of Constraint Propagators.
Living Machines,Paul F. M. J. Verschure,conf/lm/ZuccaV12,Cerebellar Memory Transfer and Partial Savings during Motor Learning: A Robotic Study.
ICAART (2),Ann Nowé,conf/icaart/ClercqBSMCN14,Decentralized Computation of Pareto Optimal Pure Nash Equilibria of Boolean Games with Privacy Concerns .
DCC,Faramarz Fekri,conf/dcc/BeiramiF11,The Redundancy of Two-Part Codes for Finite-Length Parametric Sources.
,Nihat Ay,journals/corr/abs-1010-5720,Information-theoretic inference of common ancestors
WISE,Marco A. Casanova,conf/wise/VidalAC05,Towards Automatic Generation of Rules for Incremental Maintenance of XML Views of Relational Data.
TARK,Barteld P. Kooi,conf/tark/BenthemEK05,Common knowledge in update logics.
,Li Liu,journals/cmig/LiangCHL08,Lossless compression of medical images using Hilbert space-filling curves.
,Ralf Schenkel,journals/jiis/SydowPS13,The notion of diversity in graphical entity summarisation on semantic knowledge graphs.
PST,Francesco Santini,conf/pst/BistarelliS14,Two trust networks in one: Using bipolar structures to fuse trust and distrust.
VLDB,Dan Suciu,conf/vldb/Suciu96,Query Decomposition and View Maintenance for Query Languages for Unstructured Data.
,Gene H. Golub,journals/cacm/BartelsG69,The simplex method of linear programming using LU decomposition.
EC,Ariel D. Procaccia,conf/sigecom/CaragiannisKKP10,Socially desirable approximations for Dodgson's voting rule.
IJCAI,Peter F. Schneider,conf/ijcai/McCallaS79,The Execution of Plans in an Independent Dynamic Microworld.
DASFAA (2),Hans-Peter Kriegel,conf/dasfaa/SchubertZK15,Fast and Scalable Outlier Detection with Approximate Nearest Neighbor Ensembles.
ICCAD,Karem A. Sakallah,conf/iccad/BurksS93,Min-max linear programming and the timing analysis of digital circuits.
,Christoph Schnörr,journals/endm/WeberSS05,Prior Learning and Convex-Concave Regularization of Binary Tomography.
VLDB,Hannu Toivonen,conf/vldb/Toivonen96,Sampling Large Databases for Association Rules.
Encyclopedia of Social Network Analysis and Mining,Fei Wang,reference/snam/Wang14,"Social Networks in Healthcare, Case Study."
,Stefan Szeider,journals/eccc/GaspersS11,The Parameterized Complexity of Local Consistency.
CICLing,Graeme Hirst,conf/cicling/MaratheH10,Lexical Chains Using Distributional Measures of Concept Distance.
AAAI,David Poole,conf/aaai/Poole07,"Logical Generative Models for Probabilistic Reasoning about Existence, Roles and Identity."
IROS,Maxim Likhachev,conf/iros/KushleyevML11,Planning for landing site selection in the aerial supply delivery.
ICML,Kotagiri Ramamohanarao,conf/icml/LeckieR02,Learning to Share Distributed Probabilistic Beliefs.
ICTIR,Gareth J. F. Jones,conf/ictir/LiGJ11,Enhanced Information Retrieval Using Domain-Specific Recommender Models.
ICME Workshops,Hanqing Lu,conf/icmcs/NiuLLZCL13,Attribute expansion with sequential learning for object classification.
,Zhongzhi Shi,journals/ijbic/CuiFZS13,APOA with parabola model for directing orbits of chaotic systems.
ICDM,Phillip B. Gibbons,conf/icdm/WangLYLG13,Communication-Efficient Distributed Multiple Reference Pattern Matching for M2M Systems.
SETTA,Lijun Zhang,conf/setta/LiLTHZ16,An Efficient Synthesis Algorithm for Parametric Markov Chains Against Linear Time Properties.
,Shuicheng Yan,journals/corr/HuangFCY15,Cross-domain Image Retrieval with a Dual Attribute-aware Ranking Network.
,Shoichi Noguchi,journals/tgrs/KudohN91a,A study of a three-dimensional histogram using the NOAA AVHRR images.
ICDM,Wai Lam,conf/icdm/HuangL07,Semi-supervised Document Clustering via Active Learning with Pairwise Constraints.
VTC Spring,Weimin Xiao,conf/vtc/GhoshRFTX07,Random Access Design for UMTS Air-Interface Evolution.
NIPS,Joshua B. Tenenbaum,conf/nips/LakeST13,One-shot learning by inverting a compositional causal process.
MMM,Nuria Oliver,conf/mmm/ObradorSSO12,Towards Category-Based Aesthetic Models of Photographs.
,Wen Gao 0001,journals/jvcir/ZhangZMWG11,Novel intra prediction via position-dependent filtering.
Parallel Processing of Discrete Optimization Problems,Jianzhong Li,conf/dimacs/NiccumSHL94,Query Optimization and Processing in Parallel Databases.
EMNLP,Hwee Tou Ng,conf/emnlp/JiangN06,Semantic Role Labeling of NomBank: A Maximum Entropy Approach.
,Alfred O. Hero III,journals/corr/GreenewaldKH16,Distance Metric Tracking.
GIS,Markus Schneider 0001,conf/gis/WeinrichS05,Use of rational numbers in the design of robust geometric primitives for three-dimensional spatial database systems.
ICAC,Evgenia Smirni,conf/icac/MiCCS09,Injecting realistic burstiness to a traditional client-server benchmark.
TREC,Anagha Kulkarni,conf/trec/BhandariKK14,San Francisco State University at TREC 2014: Clinical Decision Support Track and Microblog Track.
ICCV,Jitendra Malik,conf/iccv/BourdevMM11,Describing people: A poselet-based approach to attribute classification.
MobiQuitous,Fosca Giannotti,conf/mobiquitous/PinelliMTG08,Location prediction within the mobility data analysis environment DAEDALUS.
CLOSER,Frank Leymann,conf/closer/StrauchASL14,Transparent Access to Relational Databases in the Cloud using a Multi-tenant ESB.
RTS,Sang Hyuk Son,conf/ecrts/LeeS94,Semantic-based concurrency control for object-oriented database systems supporting real-time applications.
IWQoS,Gang Lu,conf/iwqos/PengZYCQL10,Traffic identification using flexible neural trees.
,Volkan Isler,journals/ijrr/TekdasYI10,Robotic Routers: Algorithms and Implementation.
ECIR,Danilo Montesi,conf/ecir/BrucatoM14,Metric Spaces for Temporal Information Retrieval.
CCA,João Miranda Lemos,conf/IEEEcca/CostaL12,Predictive adaptive temperature control in a solar furnace for material stress tests.
ICME,Yongdong Zhang,conf/icmcs/ZhouLZ06,Improvements on Rate-Distortion Performance of H.264 Rate Control in Low Bit Rate Video Coding.
SIGIR,Alan Hanjalic,conf/sigir/ShiZWLH12,Adaptive diversification of recommendation results via latent factor portfolio.
VLDB,Eric Simon,conf/vldb/AbiteboulSGS86,Towards DBMSs for Supporting New Applications.
ICME,Wolfgang Effelsberg,conf/icmcs/KopfHE05,Enhancing curvature scale space features for robust shape classification.
CIKM,Guntram Berti,conf/cikm/MahdirajiBB13,ImG-complex: graph data model for topology of unstructured meshes.
,Rama Chellappa,journals/tip/RignotC92,Segmentation of polarimetric synthetic aperture radar data.
,Yonggang Wen,journals/network/WuZHW15,Cloud radio access network (C-RAN): a primer.
WWW,Evgeniy Gabrilovich,conf/www/IpeirotisG14,Quizz: targeted crowdsourcing with a billion (potential) users.
INTERSPEECH,Fernando C. N. Pereira,conf/interspeech/Pereira05,Linear models for structure prediction.
AH,Pattie Maes,conf/aughuman/XiaM13,The design of artifacts for augmenting intellect.
SOSP,Michael Isard,conf/sosp/YuGI09,Distributed aggregation for data-parallel computing: interfaces and implementations.
ICLP,Yves Deville,conf/iclp/HentenryckD91,The Cardinality Operator: A New Logical Connective for Constraint Logic Programming.
,Jun Wang,journals/lgrs/GaoW15,Multi-Objective Fuzzy Clustering for Synthetic Aperture Radar Imagery.
CEC,Risto Miikkulainen,conf/cec/TutumSM16,Surrogate-based evolutionary optimization for friction stir welding.
ADMA (2),Yong Yu,conf/adma/GuoWXY10,Predicting Product Duration for Adaptive Advertisement.
ICA3PP (3),Wei Zhang,conf/ica3pp/ChenCXYZ15,When Software Defined Networks Meet Fault Tolerance: A Survey.
INFOCOM,Kang G. Shin,conf/infocom/KimS10,Asymmetry-Aware Real-Time Distributed Joint Resource Allocation in IEEE 802.22 WRANs.
KDD,Sam Clark,conf/kdd/RitterMEC12,Open domain event extraction from twitter.
ECCV (1),Christoph H. Lampert,conf/eccv/BlaschkoL08,Learning to Localize Objects with Structured Output Regression.
Foundations of Data Mining and knowledge Discovery,Churn-Jung Liau,series/sci/FanLL05,Justification and Hypothesis Selection in Data Mining.
Description Logics,Ivan José Varzinczak,conf/dlog/BritzMV11,Concept Model Semantics for DL Preferential Reasoning.
,Romeo Rizzi,journals/ipl/BrewsterR03,On the complexity of digraph packings.
KESW,Sören Auer,conf/kesw/Tarasowa0A15,Measuring the Quality of Relational-to-RDF Mappings.
NIPS,Benjamin J. Stephens,conf/nips/AtkesonS07,Random Sampling of States in Dynamic Programming.
,Yiyu Yao,journals/tois/WongY95,On Modeling Information Retrieval with Probabilistic Inference.
LCN,Anirban Mahanti,conf/lcn/ZhangCELM12,Dynamic file bundling for large-scale content distribution.
,Xiaoyang Sean Wang,journals/isci/HeLW08,Aggregation in sensor networks with a user-provided quality of service goal.
KMO,Peter Dolog,conf/kmo/FuWPXD12,An Integrated Pruning Criterion for Ensemble Learning Based on Classification Accuracy and Diversity.
,Michael J. Maher,journals/jar/LassezM92,On Fourier's Algorithm for Linear Arithmetic Constraints.
GIS,Vassilis J. Tsotras,conf/gis/BakalovKT07,TS2-tree - an efficient similarity based organization for trajectory data.
ICDE,Yinghui Wu,conf/icde/FanWW14,Answering graph pattern queries using views.
ICPR,Ling Shao,conf/icpr/ZhenS14,A Performance Evaluation on Action Recognition with Local Features.
,Laks V. S. Lakshmanan,journals/corr/VaswaniL16,Adaptive Influence Maximization in Social Networks: Why Commit when You can Adapt?
ECIR,David A. Smith,conf/ecir/AktolgaAS11,Passage Reranking for Question Answering Using Syntactic Structures and Answer Types.
SIGIR,James Allan,conf/sigir/LeouskiA98,Visual Interactions with a Multidimensional Ranked List.
,Fred Douglis,journals/internet/Douglis07c,From the Editor in Chief: What's Your PageRank?
KONT/KPP,Gerd Stumme,conf/kont/IlligHJS07,A Comparison of Content-Based Tag Recommendations in Folksonomy Systems.
,Howie Choset,journals/ijrr/LuntzMC01,Distributed Manipulation Using Discrete Actuator Arrays.
,Jochen Ludewig,journals/insk/Ludewig84,Ist das Zählverfahren nach d'Hondt gerecht? - Der Kommentar.
HCC,Yun Wang,conf/hucc/HuW16,Optimization of Charging and Data Collection in Wireless Rechargeable Sensor Networks.
COLING,Chew Lim Tan,conf/coling/ChenYST08,Other-Anaphora Resolution in Biomedical Texts with Automatically Mined Patterns.
,Zhi Jin,journals/corr/MouYLZJ15,Backbone Language Modeling for Constrained Natural Language Generation.
MDM,Shojiro Nishio,conf/mdm/ShinoharaHN07,Data Replication Considering Power Consumption in Ad Hoc Networks.
,Kenichi Yoshida,journals/ai/MotodaY98,Machine Learning Techniques to Make Computers Easier to Use.
CompSci@CIKM,Daqing He,conf/cikm/HanJYH13,Recommending program committee candidates for academic conferences.
,Limsoon Wong,journals/biodb/FanLWW14,A semi-automated methodology for finding lipid-related GO terms.
,Brian V. Funt,journals/pami/MirzaeiF15,Gaussian-Based Hue Descriptors.
SAINT,Shojiro Nishio,conf/saint/FujiwaraHTATN10,A Self-Localization Method Using Propagation of Existence Probability.
QEST,Maarten van Steen,conf/qest/BakhshiGFS11,A Modeling Framework for Gossip-based Information Spread.
IDA,Feng Zhao,conf/ida/HuangZ99,``Seeing'' Objects in Spatial Datasets.
,Elena Ferrari,journals/tkde/ColomboF15,Efficient Enforcement of Action-Aware Purpose-Based Access Control within Relational Database Management Systems.
SIGMOD Conference,Min Xie,conf/sigmod/Xie14,EDS: a segment-based distance measure for sub-trajectory similarity search.
ICRA,Dinesh Manocha,conf/icra/TangKM10,Continuous collision detection for non-rigid contact computations using local advancement.
,Ying Li,journals/iasc/Do-TienPZL01,Detection of Control Points for Warping Map Images.
,Martin Margala,journals/jolpe/PurohitLPCM09,Design and Evaluation of an Energy-Delay-Area Efficient Datapath for Coarse-Grain Reconfigurable Computing Systems.
,Hsin-Min Wang,journals/jise/TsaiYW08,Using the Similarity of Main Melodies to Identify Cover Versions of Popular Songs for Music Document Retrieval.
CIT,Yang Wang,conf/IEEEcit/Wang12,Channel Equalization Using a Robust Recursive Least-Squares Adaptive-Filtering Algorithm.
IROS,Gregory Dudek,conf/iros/RezanejadSRSD15,Robust environment mapping using flux skeletons.
AAAI Fall Symposium: Naturally-Inspired Artificial Intelligence,Noah D. Goodman,conf/aaaifs/ShaftoG08,A Bayesian Model of Pedagogical Reasoning.
,Xi Chen,journals/ijaras/WangCC14,Towards Availability: A Dynamic Scaling Mechanism for Cloud Applications.
GECCO,Risto Miikkulainen,conf/gecco/AgoginoTM05,Efficient credit assignment through evaluation function decomposition.
,Yousef Saad,journals/siamsc/XiS16,Computing Partial Spectra with Least-Squares Rational Filters.
,Jiawei Han,journals/pvldb/LiLGSZDFH14,A Confidence-Aware Approach for Truth Discovery on Long-Tail Data.
ESEC/SIGSOFT FSE,Moshe Y. Vardi,conf/sigsoft/FraserBCFGIV13,A publication culture in software engineering (panel).
,Blaz Zupan,journals/ploscb/ZitnikNDKSZ15,Gene Prioritization by Compressive Data Fusion and Chaining.
CODASPY,Bradley Malin,conf/codaspy/XiaHDLM13,Efficient discovery of de-identification policy options through a risk-utility frontier.
,Barbara Hayes-Roth,journals/ker/JohnsonH98,The First Autonomous Agents Conference.
,Pedro José Marrón,journals/percom/ApolinarskiHIM14,Secure interaction with piggybacked key-exchange.
,John C. S. Lui,journals/tpds/WuL12,Exploring the Optimal Replication Strategy in P2P-VoD Systems: Characterization and Evaluation.
ECCV Workshops (3),Iasonas Kokkinos,conf/eccv/KinauerBK16,Monocular Surface Reconstruction Using 3D Deformable Part Models.
INTERSPEECH,Jean-Pierre Martens,conf/interspeech/StoutenM07,Recognition of foreign names spoken by native speakers.
,Manfred Schmidt-Schauß,journals/tcs/Schmidt-Schauss99,Decidability of Behavioural Equivalence in Unary PCF.
CRV,Kevin P. Murphy,conf/crv/ReynoldsM07,Figure-ground segmentation using a hierarchical conditional random field.
,Jin-Kao Hao,journals/biodatamining/AyadiEH09,A biclustering algorithm based on a Bicluster Enumeration Tree: application to DNA microarray data.
IEEE Security in Storage Workshop,David Hung-Chang Du,conf/sisw/TangLD02,Performance Study of Software-Based iSCSI Security.
CIBCB,Elisabeth R. M. Tillier,conf/cibcb/WangT06,A Bayesian approach to pairwise RNA Secondary Structure Alignment.
,Dhruv Batra,journals/corr/AgrawalMGCBMOB15,CloudCV: Large Scale Distributed Computer Vision as a Cloud Service.
IUI,Erik Duval,conf/iui/VerbertPBD13,"Visualizing recommendations to support exploration, transparency and controllability."
AAAI,Shi-Kuo Chang,conf/aaai/WangXC13,Sparse Multi-Task Learning for Detecting Influential Nodes in an Implicit Diffusion Network.
PRICAI,Yutaka Matsuo,conf/pricai/IshizukaM98,SL Method for Computing a Near-Optimal Solution Using Linear and Non-linear Programming in Cost-Based Hypothetical Reasoning.
ISCAS (5),Shih-Chii Liu,conf/iscas/Liu03a,A wide-field direction-selective aVLSI spiking neuron.
NIPS,Thomas A. Busey,conf/nips/DaileyCB98,Facial Memory Is Kernel Density Estimation (Almost).
CVPR (1),Trevor Darrell,conf/cvpr/GraumanD04,Fast Contour Matching Using Approximate Earth Mover's Distance.
ICMLC,Shizhong Liao,conf/icmlc/FengJWL13,Health identification of traditional Chinese medicine with tongue images.
AINA Workshops (1),Mourad Debbabi,conf/aina/MouradLD07,Towards an Aspect Oriented Approach for the Security Hardening of Code.
AISTATS,Ambuj Tewari,conf/aistats/ChaudhuriT16,Online Learning to Rank with Feedback at the Top.
BIBE,Alexander Zelikovsky,conf/bibe/ChengHZ07,Homomorphisms of Multisource Trees into Networks with Applications to Metabolic Pathways.
ICDE,Yonggang Wen,conf/icde/LuoTR0W16,Tensor canonical correlation analysis for multi-view dimension reduction.
Parallel and Distributed Computing and Systems,Naohiro Ishii,conf/pdpcs/LiI95,A Graph-Construction Approach for Lower Time Bounds of Heterogeneous Programs.
EuroCOLT,David P. Helmbold,conf/eurocolt/DuffyH99,A Geometric Approach to Leveraging Weak Learners.
ECAI,Louise Travé-Massuyès,conf/ecai/MissierXT94,Qualitative Algorithmics Using Order of Growth Reasoning.
ICRA,Zachary Dodds,conf/icra/HagerD00,On Specifying and Performing Visual Tasks with Qualitative Object Models.
,Aníbal R. Figueiras-Vidal,journals/fuin/JelaliLF09,Designing Model Based Classifiers by Emphasizing Soft Targets.
,Dianne P. O'Leary,journals/siamsc/ChungCO11,Designing Optimal Spectral Filters for Inverse Problems.
COLING (Posters),Chengqing Zong,conf/coling/WangZ10,Phrase Structure Parsing with Dependency Structure.
WebDB,Prasenjit Mitra,conf/webdb/ZhangM10,Learning Topical Transition Probabilities in Click Through Data with Regression Models.
CHI,Albrecht Schmidt 0001,conf/chi/LeivaSCH015,Text Entry on Tiny QWERTY Soft Keyboards.
WWW (Companion Volume),Felix Naumann,conf/www/JendersKN16,Which Answer is Best?: Predicting Accepted Answers in MOOC Forums.
ICWS,Martin Nussbaumer,conf/icws/GaedkeMN05,i2Map: An Approach to Model the Landscape of Federated Systems.
IJCAI,Xingquan Zhu,conf/ijcai/WangTXWZ16,Bernoulli Random Forests: Closing the Gap between Theoretical Consistency and Empirical Soundness.
,S. Ramani,journals/kbs/SasikumarPPR97,PIPES: A heuristic search model for pipeline schedule generation.
ISCAS,Tara Julia Hamilton,conf/iscas/ThanigaivelanPH10,Live Demo: Affine arithmetic concept based Symbolic Circuit Analyser.
HotStorage,Heon Young Yeom,conf/hotstorage/YuSSSEY12,Exploiting Peak Device Throughput from Random Access Workload.
